hotel_Id,hotelNames
19789202,30 Bencoolen
5696587,5footway.inn Project Chinatown 1
1675926,Adina Serviced Apartments Singapore Orchard
12810757,Aerotel Singapore - Transit Hotel in Terminal 1
1078908,Aliwal Park Hotel
5264060,Aloft Singapore Novena
75903049,AM Hotel
1871226,Amara Sanctuary Resort Sentosa
906145,Amara Singapore
13434756,Ambassador Transit Hotel Terminal 2
13434415,Ambassador Transit Hotel Terminal 3
16222000,Ambassador Transit Lounge Singapore T2
16221925,Ambassador Transit Lounge Singapore T3
6493295,AMOY by Far East Hospitality
96105424,Amrise Hotel
97021399,AMRISE HOTEL KITCHENER
18618175,Andaz Singapore - a concept by Hyatt
22133904,"Ann Siang House, The Unlimited Collection by Oakwood"
11225475,Aqueen Hotel Paya Lebar
99401817,Aqueen Prestige Hotel Jalan Besar
96572586,Aqueen Prestige Hotel Lavender 
13277061,Arcadia Hotel
91551475,Arena eSports Hotel at Bugis Village
3089603,Arianna Hotel
12608333,Ark Hostel
7322901,Arton Boutique Hotel
92372777,Artyzen Singapore 
16223639,Ascott Orchard Singapore
2109912,Ascott Raffles Place Singapore
1074665,Asphodel Inn Singapore
29282810,Atlantis Pods at Chinatown
22386659,Atlantis Pods at Little India
9224417,Beary Best! Hostel
9096337,BEAT. Arts Hostel Chinatown
12639407,BEAT. Capsule Hostel @ Boat Quay
8032274,Best Rest Inn
83279266,Beverly Hotels Elements
9753497,Blanc Inn - Hostel
8060583,Bliss Hotel Singapore
13119508,Bright Star Hotel
23082282,Butternut Tree Hotel
25114989,Campbell Inn - Hostel
2434364,Capella Singapore
5312974,"Capri by Fraser Changi City, Singapore"
34834462,"Capri By Fraser China Square, Singapore"
6076571,Carlton City Hotel Singapore
892568,Carlton Hotel Singapore
35134453,Century Service World - Hostel
9849561,Champion Hotel
16221741,Champion Hotel City
6980410,Changi Cove
16107172,Check-Inn at Little India
41946053,CherryLoft @Lorong10
13052448,CherryLoft Resorts
36760720,Circular House
38080473,Citadines Balestier Singapore
86149818,Citadines Connect City Centre Singapore
88627722,Citadines Connect Rochester Singapore
2816682,Citadines Fusionopolis Singapore
2307345,Citadines Mount Sophia Singapore
74539853,Citadines Raffles Place Singapore
42235554,Citadines Rochor Singapore
10232029,Coastal Motel
95282325,Coliwoo Hotel Gay World
76936991,Coller Boutique Hostel
3051,Concorde Hotel Singapore 
41139,Conrad Centennial Singapore
96152237,Conrad Singapore Orchard
93596849,Convenient Jacksonville Home w/ Yard & Patio!
555023,Copthorne King's Hotel Singapore on Havelock
19823539,Courtyard by Marriott Singapore Novena
2057692,"Crowne Plaza Changi Airport, an IHG Hotel"
15803687,CUBE Boutique Capsule Hotel @ Chinatown
20190773,CUBE Boutique Capsule Hotel @ Kampong Glam
10425688,CUBE Family Boutique Capsule Hotel
18559466,Dao by Dorsett AMTD Singapore
14978,Days Inn by Wyndham Jacksonville NC
3113066,D'Hotel Singapore managed by The Ascott Limited
88940650,D'nova Hotel
5659305,Dorsett Singapore
89681729,Dream Chaser Boutique Capsule Hotel
16708917,Dream Lodge
15061900,D'Resort at Downtown East
42723659,Dusit Thani Laguna Singapore
892933,"Duxton Reserve Singapore, Autograph Collection"
861823,Fairmont Singapore
10586232,Far East Plaza Residences
17437217,five6 Hotel Splendour
9441007,Four Chain View Hotel
46752,"Four Points by Sheraton Singapore, Riverview"
21677,Four Seasons Hotel Singapore
2805716,Fragrance Hotel - Balestier
5775166,Fragrance Hotel - Classic
5775244,Fragrance Hotel - Kovan
5775249,Fragrance Hotel - Lavender
2139774,Fragrance Hotel - Oasis
4424329,Fragrance Hotel - Ocean View
2535007,Fragrance Hotel - Rose
5775231,Fragrance Hotel - Viva
915823,"Fraser Place Robertson Walk, Singapore"
32154575,"Fraser Residence Orchard, Singapore"
96324130,Fraser Residence River Promenade
915822,Fraser Suites Singapore
23122,Furama City Centre
46753,Furama RiverFront
8777046,Gap Year Hostel
46745,Garden
87344880,Garden Pod @ Gardens by the Bay
4173,Goodwood Park Hotel
553889,Grand Copthorne Waterfront
571404,Grand Mercure Singapore Roxy
892942,Grand Park City Hall
455121,Great World Serviced Apartments
63905453,Gusti Bed and Breakfast
1181906,Harbour Ville Hotel
29238197,Harbour Ville Hotel Hamilton - Lavender
9625754,Hilton Garden Inn Singapore Serangoon
19078,Hilton Singapore Orchard
39684284,Hmlet Cantonment
200618,"Holiday Inn Express and Suites Singapore Novena, an IHG Hotel"
6485265,"Holiday Inn Express Singapore Clarke Quay, an IHG Hotel"
12511476,"Holiday Inn Express Singapore Katong, an IHG Hotel"
6267505,"Holiday Inn Express Singapore Orchard Road, an IHG Hotel"
9812663,"Holiday Inn Express Singapore Serangoon, an IHG Hotel"
415721,"Holiday Inn Singapore Atrium, an IHG Hotel"
16715693,"Holiday Inn Singapore Little India, an IHG Hotel"
6152,"Holiday Inn Singapore Orchard City Centre, an IHG Hotel"
12714862,Hotel 1888
61090289,Hotel 1888 Collection
4128991,Hotel 1900
971952,Hotel 1929
5076882,Hotel 81 - Balestier
4917313,Hotel 81 - Heritage
3891777,Hotel 81 - Star
4119512,Hotel 81 Bugis
17329349,Hotel 81 Changi
3891794,Hotel 81 Chinatown
12240149,Hotel 81 Cosy
4118932,Hotel 81 Dickson
2806469,Hotel 81 Elegance
15390837,Hotel 81 Fuji
2806435,Hotel 81 Geylang
4118934,Hotel 81 Gold
4607637,Hotel 81 Kovan
4118894,Hotel 81 Lucky
4118895,Hotel 81 Orchid
4118937,Hotel 81 Osaka
4119789,Hotel 81 Palace
4606557,Hotel 81 Premier Hollywood
2466869,Hotel 81 Princess
4119449,Hotel 81 Rochor
4118625,Hotel 81 Sakura
4119598,Hotel 81 Selegie
2464256,Hotel 81 Tristar
8224996,Hotel Bencoolen @ Bencoolen Street 
12306928,Hotel Bencoolen@Hong Kong Street 
13307850,Hotel Boss
90621481,Hotel by Wassies
57577366,Hotel Calmo Bugis
68273165,Hotel Calmo Chinatown
12016147,Hotel Chancellor@Orchard
4119787,Hotel Classic by Venue
15141409,Hotel Clover 7
7279319,Hotel Clover 769 North Bridge Road
8217931,Hotel Clover The Arts
3844012,Hotel Fort Canning
16483483,Hotel G Singapore
522201,Hotel Grand Central
415683,Hotel Grand Pacific
12494241,"Hotel Indigo Singapore Katong , an IHG Hotel"
19665227,Hotel Mi Bencoolen
7398914,Hotel Miramar Singapore 
16806537,Hotel Mono
8077429,Hotel Nuve
42074134,Hotel NuVe Elements
7097957,Hotel NuVe Heritage
19230751,Hotel NuVe Urbane
2127233,Hotel Re!
906060,Hotel Royal
1531027,Hotel Royal @ Queens
6489367,Hotel Snow Lavender
36242703,Hotel Soloha
6417153,Hotel Telegraph
73360826,Hotel Traveltine
12351191,Hotel YAN
90332796,I - Hotel
2812614,ibis budget Singapore Ametrine
4424567,ibis budget Singapore Bugis
4810908,ibis budget Singapore Clarke Quay
2139663,ibis budget Singapore Crystal
2139442,ibis budget Singapore Emerald
90301897,Ibis Budget Singapore Gold
2538108,ibis budget Singapore Imperial
2139969,ibis budget Singapore Joo Chiat
4424337,ibis budget Singapore Mount Faber
2139505,ibis budget Singapore Pearl
2139855,ibis budget Singapore Ruby
2139531,ibis budget Singapore Sapphire
2139913,ibis budget Singapore Selegie
2538236,ibis budget Singapore West Coast
4249353,ibis Singapore Novena
2330793,ibis Singapore On Bencoolen
4627261,ibis Styles Singapore Albert
12251391,ibis Styles Singapore On Macpherson
560319,"InterContinental Singapore Robertson Quay, an IHG Hotel"
12307,"InterContinental Singapore, an IHG Hotel"
9016932,J8 Hotel
93204119,Jacksonville Getaway ~ 4 Mi to Downtown!
8091185,Jayleen 1918 Hotel
12875026,Jayleen Clarke Quay Hotel
906062,JEN Singapore Orchardgateway by Shangri-La
7062,JEN Singapore Tanglin by Shangri-La
34497553,JH Hotel
39031480,Ji Hotel Orchard Singapore
9636009,JW Marriott Hotel Singapore South Beach
93840112,Jyu Capsule Hotel
14638508,K Hotel
33295542,K HOTEL 12
33376304,K Hotel 14
64412096,K Hotel 1515
44894541,K Hotel 8
48263246,K Space Inn 569 - Hostel
62981147,K Space Inn Owen - Hostel
25842608,K2 Guest House
31667066,Kim Tian Hotel
14637684,Kim Tian Hotel Han
33982126,Kim Tian Hotel Star
96877523,KINN Studios
83704671,L Hotel @ 51 Desker
14637601,L Hotel @ Broadway
15390658,Lai Ming Hotel
7781414,"Lanson Place Winsland, Singapore"
10524344,Le Grove Serviced Residences
1747350,Link Hotel
8303708,Lion Peak Hotel Bugis
74633092,Lion Peak Hotel Hamilton
30200869,Lion Peak Hotel Raffles
12601290,Lloyd's Inn
9833251,Louis Kienne Serviced Residences
72966785,lyf Farrer Park Singapore
38874809,lyf Funan Singapore by Ascott
71254754,lyf One-North Singapore
552973,M Hotel Singapore City Centre
14873377,M Social Singapore
328784,"Mandarin Oriental, Singapore"
3231105,Marina Bay Sands
27537658,"Maxwell Reserve Singapore, Autograph Collection"
13440324,Mercure Singapore Bugis
18410248,Mercure Singapore On Stevens
8427217,Mercure Singapore Tyrwhitt
30645983,Met A Space Pod @ Arab Street
188339,Metropolitan Ymca Singapore
9988732,Momentus Hotel Alexandra
29962994,Momentus Serviced Residences Novena
91580180,Mondrian Singapore Duxton
911537,"Motel 6 Jacksonville, NC"
83431443,Mountbatten Hotel
415634,Naumi Hotel
15012998,New Cape Inn
2987120,Nostalgia Hotel
4498296,Novotel Living Singapore Orchard
18236555,Novotel Singapore on Stevens
15995168,Oakwood Studios Singapore
13455138,Oasia Hotel Downtown Singapore by Far East Hospitality
4249364,"Oasia Hotel Novena, Singapore"
16009574,Oasia Residence Singapore
58164711,Oasia Resort Sentosa by Far East Hospitality
6501523,One Farrer Hotel
9303090,One15 Marina Sentosa Cove Singapore
12023352,Orchard Grand Court
553888,Orchard Hotel Singapore
1675924,Orchard Parksuites
18127446,Orchard Point Serviced Apartments
906059,Orchard Rendezvous Hotel by Far East Hospitality
1792454,Orchard Scotts Residences 
2976221,Orchid Country Club
8639079,Orchid Hotel
89923238,Owen House by Hmlet
28592,Pan Pacific Orchard
6083920,"Pan Pacific Serviced Suites Beach Road, Singapore"
2135090,"Pan Pacific Serviced Suites Orchard, Singapore"
6594,Pan Pacific Singapore
447795,Paradox Singapore Merchant Court at Clarke Quay
6482511,Park Avenue Changi
11105571,Park Avenue Clemenceau
18942417,Park Avenue Robertson
4715695,Park Avenue Rochester
4018160,Park Regis Singapore
328749,"PARKROYAL COLLECTION Marina Bay, Singapore "
5400381,"PARKROYAL COLLECTION Pickering, Singapore"
3037335,"PARKROYAL on Beach Road, Singapore"
906127,"PARKROYAL on Kitchener Road, Singapore"
906141,PARKROYAL Serviced Suites Singapore
19460759,Pegasus Hotel
889679,"Peninsula Excelsior Singapore, A Wyndham Hotel"
1365733,Perak Hotel
75819672,Philip Hotel
20519059,Plaza Premium Lounge  - Singapore T1 - Hostel
93486994,Pullman Singapore Hill Street
906129,Pullman Singapore Orchard 
34997754,Q Loft Hotels@Bedok
2450073,Quincy Hotel Singapore by Far East Hospitality - Adults only
95401471,RadZone Hostel
20409,Raffles Singapore
13370406,"Red Roof Inn & Suites Jacksonville, NC"
39817394,RedDoorz @ Geylang
39817395,RedDoorz Premium @ Balestier
60847395,Regin Hotel
447343,Rendezvous Hotel Singapore
4645547,Resorts World Sentosa - Crockfords Tower
5415025,Resorts World Sentosa - Equarius Hotel
5035342,Resorts World Sentosa - Equarius Villas
10559890,Resorts World Sentosa - Genting Hotel Jurong
4595789,Resorts World Sentosa - Hard Rock Hotel
4989114,Resorts World Sentosa - Hotel Michael
9623643,Resorts World Sentosa - Hotel Ora
5613169,Rest Bugis Hotel
31554913,Rest House
13414183,River City Inn - Hostel
2483503,Riverside Hotel Robertson Quay managed by The Ascott Limited
15102838,RM Hotel
522228,Robertson Quay Hotel
23799,Royal Plaza on Scotts
76823422,Rucksack Inn @ Temple Street - Hostel
8057378,Rucksack Inn @ Tyrwhitt - Hostel
8666929,S Inn Chinatown - Hostel
4911104,Sandpiper Hotel
11530888,Santa Grand Hotel East Coast
12351488,Seng Wah Hotel
13170653,"Shangri-La Apartments, Singapore"
6519,"Shangri-La Rasa Sentosa, Singapore"
22322,Shangri-La Singapore
23599,Sheraton Towers Singapore
46304830,Shipping Container Hotel @ One-North
96105476,Shipping Container Hotel Haw Par Villa
1555289,"Siloso Beach Resort, Sentosa"
23818,Singapore Marriott Tang Plaza Hotel 
16651631,Sofitel Singapore City Centre
330576,Sofitel Singapore Sentosa Resort & Spa
1080532,Somerset Bencoolen Singapore
4616281,ST Residences Novena
44261350,ST Signature Bugis Beach
63889483,"ST Signature Bugis Beach, DAYUSE, 8-9 hours: check in 8AM or 11AM"
95860333,ST Signature Bugis Middle
36990596,ST Signature Chinatown
53900634,"ST Signature Jalan Besar, DAYUSE, 5 hours: 10AM-3PM"
70105588,"ST Signature Jalan Besar, SHORT OVERNIGHT, 13 hours: 6PM-7AM"
42363019,ST Signature Tanjong Pagar
92600117,"ST Signature Tanjong Pagar, DAYUSE, 6 hours: 12PM-6PM"
92553022,"ST Signature Tanjong Pagar, SHORT OVERNIGHT, 14 hours: 8PM-10AM"
3153356,Studio M Hotel
3084865,Suburban Studios Near Camp Lejeune
520959,Summer View Hotel
311,"Swissotel The Stamford, Singapore"
71089122,Synergy B
9804741,Tai Hoe Hotel
17157408,Thanksgiving Serviced Residence
83966502,"The Assembly Place, A Co-Living Hotel At Mayo"
36866077,The Barracks Hotel Sentosa by Far East Hospitality
10589136,The Capitol Kempinski Hotel Singapore
45536906,The Clan Hotel Singapore by Far East Hospitality
68890456,The Daulat by Hotel Calmo
3793036,The Fullerton Bay Hotel
892940,The Fullerton Hotel Singapore
68888092,The Great Madras by Hotel Calmo
83784113,The Initial Residence
83732,The Inn At Temple Street
15364435,The Keong Saik Hotel
31063396,The Outpost Hotel Sentosa by Far East Hospitality
8109545,The Pod at Beach Road
21304492,The Quay Hotel
9644785,The Quay Hotel West Coast
28540,"The Ritz-Carlton, Millenia Singapore"
1141522,The Scarlet Hotel
8504556,The Seacare Hotel
3089606,"The Serangoon House, Singapore, a Tribute Portfolio Hotel"
98532856,The Singapore EDITION
71677243,The Snooze Hotel Marine Parade
15056512,The Southbridge Hotel
1778579,The St. Regis Singapore
5534784,The Sultan
11578996,"The Vagabond Club, Singapore, a Tribute Portfolio Hotel"
16417318,The Warehouse Hotel
6544926,The Westin Singapore
10050837,Traveller@SG - Hostel
4344537,Travelodge Harbourfront
12717327,Treetops Executive Residences
17129218,Urban Hostel
6543975,V Hotel Bencoolen
4301999,V Hotel Lavender
4120240,Value Hotel Balestier
4120207,Value Hotel Nice
4120236,Value Hotel Thomson
3891765,Venue Hotel
2806456,Venue Hotel - The Lily
19440,Vibe Hotel Singapore Orchard
83238149,Victoria Hotel - a NuVe Group Collection
10483169,Villa Samadhi Singapore by Samadhi ï¿½ Adults Only
892688,Village Hotel Albert Court by Far East Hospitality
892751,Village Hotel Bugis by Far East Hospitality
182973,Village Hotel Changi by Far East Hospitality
906014,Village Hotel Katong by Far East Hospitality
31063523,Village Hotel Sentosa by Far East Hospitality
10586266,Village Residence Clarke Quay
5769086,Village Residence Hougang
10586181,Village Residence Robertson Quay
5769112,Village Residence West Coast
16819,"voco Orchard Singapore, an IHG Hotel"
5198964,W Singapore - Sentosa Cove
3712865,"Wanderlust, The Unlimited Collection by Oakwood"
66020055,Wilby Central Serviced Apartments
45607233,Wink @ McCallum Street - Hostel
8403026,Wink @ Mosque Street
88258856,Wink @ Upper Cross Street - Hostel
9812798,Yaju Hotel
8068332,Ymca @ One Orchard
4718,York Hotel
19073868,YOTEL Singapore Orchard Road
37996413,YOTELAIR Singapore Changi Airport
521000,YWCA Fort Canning
